Topic,Subtopic,Completed
Python Variables,Global variables,
Python Variables,‘global’ keyword,
Python Variables,Input and Output operations,
Python Variables,Data conversion functions – int() float() complex() str() chr() ord(),
Operators,Arithmetic Operators,
Operators,Comparison Operators,
Operators,Python Assignment Operators,
Operators,Logical Operators,
Operators,Bitwise Operators,
Operators,Shift operators,
Operators,Membership Operators,
Operators,Identity Operators,
Operators,Ternary Operator,
Operators,Operator precedence,
Operators,Difference between “is” vs “==”,
Operators,Input & Output Operators,
Operators,Print,
Operators,Input,
Operators,Command-line arguments,
Control Statements,Conditional control statements,
Control Statements,If,
Control Statements,If-else,
Control Statements,If-elif-else,
Control Statements,Nested-if,
Control Statements,Loop control statements,
Control Statements,for,
Control Statements,while,
Control Statements,Nested loops,
Control Statements,Branching statements,
Control Statements,Break,
Control Statements,Continue,
Control Statements,Pass,
Control Statements,Return,
Control Statements,Case studies,
Data Structures or Collections,Introduction,
Data Structures or Collections,Importance of Data structures,
Data Structures or Collections,Applications of Data structures,
Data Structures or Collections,Types of Collections,
Sequence,String,
Sequence,List,
Sequence,Tuple,
Sequence,range,
Non-sequence,Set,
Non-sequence,Frozen set,
Non-sequence,Dictionary,
Strings,What is string,
Strings,Representation of Strings,
Strings,Processing elements using indexing,
Strings,Processing elements using Iterators,
Strings,Manipulation of String using Indexing and Slicing,
Strings,String operators,
Strings,Methods of String object,
Strings,String Formatting,
Strings,String functions,
Strings,String Immutability,
Strings,Case studies,
List Collection,What is List,
List Collection,Need of List collection,
List Collection,Different ways of creating List,
List Collection,List comprehension,
List Collection,List indices,
List Collection,Processing elements of List through Indexing and Slicing,
List Collection,List object methods,
List Collection,List is Mutable,
List Collection,Mutable and Immutable elements of List,
List Collection,Nested Lists,
List Collection,List_of_lists,
List Collection,Hardcopy shallowCopy and DeepCopy,
List Collection,zip() in Python,
List Collection,How to unzip?,
List Collection,Python Arrays,
List Collection,Case studies,
Tuple Collection,What is tuple?,
Tuple Collection,Different ways of creating Tuple,
Tuple Collection,Method of Tuple object,
Tuple Collection,Tuple is Immutable,
Tuple Collection,Mutable and Immutable elements of Tuple,
Tuple Collection,Process tuple through Indexing and Slicing,
Tuple Collection,List v/s Tuple,
Tuple Collection,Case studies,
Set Collection,What is set?,
Set Collection,Different ways of creating set,
Set Collection,Difference between list and set,
Set Collection,Iteration Over Sets,
Set Collection,Accessing elements of set,
Set Collection,Python Set Methods,
Set Collection,Python Set Operations,
Set Collection,Union of sets,
Set Collection,functions and methods of set,
Set Collection,Python Frozen set,
Set Collection,Difference between set and frozenset?,
Set Collection,Case study,
Dictionary Collection,What is dictionary?,
Dictionary Collection,Difference between list set and dictionary,
Dictionary Collection,How to create a dictionary?,
Dictionary Collection,Python Hashing?,
Dictionary Collection,Accessing values of dictionary,
Dictionary Collection,Python Dictionary Methods,
Dictionary Collection,Copying dictionary,
Dictionary Collection,Updating Dictionary,
Dictionary Collection,Reading keys from Dictionary,
Dictionary Collection,Reading values from Dictionary,
Dictionary Collection,Reading items from Dictionary,
Dictionary Collection,Delete Keys from the dictionary,
Dictionary Collection,Sorting the Dictionary,
Dictionary Collection,Python Dictionary Functions and methods,
Dictionary Collection,Dictionary comprehension,
Functions,What is Function?,
Functions,Advantages of functions,
Functions,Syntax and Writing function,
Functions,Calling or Invoking function,
Functions,Classification of Functions,
Functions,No arguments and No return values,
Functions,With arguments and No return values,
Functions,With arguments and With return values,
Functions,No arguments and With return values,
Functions,Recursion,
Functions,Python argument type functions,
Functions,Default argument functions,
Functions,Required(Positional) arguments function,
Functions,Keyword arguments function,
Functions,Variable arguments functions,
Functions,‘pass’ keyword in functions,
Functions,Lambda functions/Anonymous functions,
Functions,map(),
Functions,filter(),
Functions,reduce(),
Functions,Nested functions,
Functions,Non local variables global variables,
Functions,Closures,
Functions,Decorators,
Functions,Generators,
Functions,Iterators,
Functions,Monkey patching,
Advanced Python,Python Modules,
Advanced Python,Importance of modular programming,
Advanced Python,What is module,
Advanced Python,Types of Modules – Pre defined User defined,
Advanced Python,User defined modules creation,
Advanced Python,Functions based modules,
Advanced Python,Class based modules,
Advanced Python,Connecting modules,
Advanced Python,Import module,
Advanced Python,From … import,
Advanced Python,Module alias / Renaming module,
Advanced Python,Built In properties of module,
Packages,Organizing python project into packages,
Packages,Types of packages – pre defined user defined,
Packages,Package v/s Folder,
Packages,py file,
Packages,Importing package,
Packages,PIP,
Packages,Introduction to PIP,
Packages,Installing PIP,
Packages,Installing Python packages,
Packages,Un installing Python packages,
OOPs,Procedural v/s Object oriented programming,
OOPs,Principles of OOP – Encapsulation Abstraction (Data Hiding),
OOPs,Classes and Objects,
OOPs,How to define class in python,
OOPs,Types of variables – instance variables class variables,
OOPs,Types of methods – instance methods class method static method,
OOPs,Object initialization,
OOPs,‘self’ reference variable,
OOPs,‘cls’ reference variable,
OOPs,Access modifiers – private(__) protected(_) public,
OOPs,AT property class,
OOPs,Property() object,
OOPs,Creating object properties using setaltr getaltr functions,
OOPs,Encapsulation(Data Binding),
OOPs,What is polymorphism?,
OOPs,Overriding,
OOPs,Method overriding,
OOPs,Constructor overriding,
OOPs,Overloading,
OOPs,Method Overloading,
OOPs,Constructor Overloading,
OOPs,Operator Overloading,
OOPs,Class re-usability,
OOPs,Composition,
OOPs,Aggregation,
OOPs,Inheritance – single multi level multiple hierarchical and hybrid inheritance and Diamond inheritance,
OOPs,Constructors in inheritance,
OOPs,Object class,
OOPs,super(),
OOPs,Runtime polymorphism,
OOPs,Method resolution order(MRO),
OOPs,Method overriding in Multiple inheritance and Hybrid Inheritance,
OOPs,Duck typing,
OOPs,Concrete Methods in Abstract Base Classes,
OOPs,Difference between Abstraction & Encapsulation,
OOPs,Inner classes,
OOPs,Introduction,
OOPs,Writing inner class,
OOPs,Accessing class level members of inner class,
OOPs,Accessing object level members of inner class,
OOPs,Local inner classes,
OOPs,Complex inner classes,
OOPs,Case studies,
Exception Handling,What is Exception?,
Exception Handling,Why exception handling?,
Exception Handling,Syntax error v/s Runtime error,
Exception Handling,Exception codes – AttributeError ValueError IndexError TypeError…,
Exception Handling,Handling exception – try except block,
Exception Handling,Try with multi except,
Exception Handling,Handling multiple exceptions with single except block,
Exception Handling,Finally block,
Exception Handling,Try-except-finally,
Exception Handling,Try with finally,
Exception Handling,Case study of finally block,
Exception Handling,Raise keyword,
Exception Handling,Custom exceptions / User defined exceptions,
Exception[\"Handling\",Need to Custom exceptions,
Exception Handling,Case studies,
Regular Expressions,Understanding regular expressions,
Regular Expressions,String v/s Regular expression string,
Regular Expressions,“re” module functions,
Regular Expressions,Match(),
Regular Expressions,Search(),
Regular Expressions,Split(),
Regular Expressions,Findall(),
Regular Expressions,Compile(),
Regular Expressions,Sub(),
Regular Expressions,Subn(),
Regular Expressions,Expressions using operators and symbols,
Regular Expressions,Simple character matches,
Regular Expressions,Special characters,
Regular Expressions,Character classes,
Regular Expressions,Mobile number extraction,
Regular Expressions,Mail extraction,
Regular Expressions,Different Mail ID patterns,
Regular Expressions,Data extraction,
Regular Expressions,Password extraction,
Regular Expressions,URL extraction,
Regular Expressions,Vehicle number extraction,
Regular Expressions,Case study,
File & Directory Handling,Introduction to files,
File & Directory Handling,Opening file,
File & Directory Handling,File modes,
File & Directory Handling,Reading data from file,
File & Directory Handling,Writing data into file,
File & Directory Handling,Appending data into file,
File & Directory Handling,Line count in File,
File & Directory Handling,CSV module,
File & Directory Handling,Creating CSV file,
File & Directory Handling,Reading from CSV file,
File & Directory Handling,Writing into CSV file,
File & Directory Handling,Object serialization – pickle module,
File & Directory Handling,XML parsing,
File & Directory Handling,JSON parsing,
Python Logging,Logging Levels,
Python Logging,implement Logging,
Python Logging,Configure Log File in over writing Mode,
Python Logging,Timestamp in the Log Messages,
Python Logging,Python Program Exceptions to the Log File,
Python Logging,Requirement of Our Own Customized Logger,
Python Logging,Features of Customized Logger,
Date & Time Module,How to use Date & Date Time class,
Date & Time Module,How to use Time Delta object,
Date & Time Module,Formatting Date and Time,
Date & Time Module,Calendar module,
Date & Time Module,Text calendar,
Date & Time Module,HTML calendar,
OS Module,Shell script commands,
OS Module,Various OS operations in Python,
OS Module,Python file system shell methods,
OS Module,Creating files and directories,
OS Module,Removing files and directories,
OS Module,Shutdown and Restart system,
OS Module,Renaming files and directories,
OS Module,Executing system commands,
Multi-threading & Multi Processing,Introduction,
Multi-threading & Multi Processing,Multi tasking v/s Multi threading,
Multi-threading & Multi Processing,Threading module,
Multi-threading & Multi Processing,Creating thread – inheriting Thread class Using callable object,
Multi-threading & Multi Processing,Life cycle of thread,
Multi-threading & Multi Processing,Single threaded application,
Multi-threading & Multi Processing,Multi threaded application,
Multi-threading & Multi Processing,Can we call run() directly?,
Multi-threading & Multi Processing,Need to start() method,
Multi-threading & Multi Processing,Sleep(),
Multi-threading & Multi Processing,Join(),
Multi-threading & Multi Processing,Synchronization – Lock class – acquire() release() functions,
Multi-threading & Multi Processing,Case studies,
Garbage Collection,Introduction,
Garbage Collection,Importance of Manual garbage collection,
Garbage Collection,Self reference objects garbage collection,
Garbage Collection,‘gc’ module,
Garbage Collection,Collect() method,
Garbage Collection,Threshold function,
Garbage Collection,Case studies,
Python Data Base Communications (PDBC),Introduction to DBMS applications,
Python Data Base Communications (PDBC),File system v/s DBMS,
Python Data Base Communications (PDBC),Communicating with MySQL,
Python Data Base Communications (PDBC),Python – MySQL connector,
Python Data Base Communications (PDBC),connector module,
Python Data Base Communications (PDBC),connect() method,
Python Data Base Communications (PDBC),Oracle Database,
Python Data Base Communications (PDBC),Install cx_Oracle,
Python Data Base Communications (PDBC),Cursor Object methods,
Python Data Base Communications (PDBC),execute() method,
Python Data Base Communications (PDBC),executeMany() method,
Python Data Base Communications (PDBC),fetchone(),
Python Data Base Communications (PDBC),fetchmany(),
Python Data Base Communications (PDBC),fetchall(),
Python Data Base Communications (PDBC),Static queries v/s Dynamic queries,
Python Data Base Communications (PDBC),Transaction management,
Python Data Base Communications (PDBC),Case studies,
Python – Network Programming,What is Sockets?,
Python – Network Programming,What is Socket Programming?,
Python – Network Programming,The socket Module,
Python – Network Programming,Server Socket Methods,
Python – Network Programming,Connecting to a server,
Python – Network Programming,A simple server-client program,
Python – Network Programming,Server,
Python – Network Programming,Client,
Tkinter & Turtle,Introduction to GUI programming,
Tkinter & Turtle,Tkinter module,
Tkinter & Turtle,Tk class,
Tkinter & Turtle,Components / Widgets,
Tkinter & Turtle,Label Entry Button Combo Radio,
Tkinter & Turtle,Types of Layouts,
Tkinter & Turtle,Handling events,
Tkinter & Turtle,Widgets properties,
Tkinter & Turtle,Case studies,
Data Analytics Modules,Numpy Introduction,
Data Analytics Modules,Scipy Introduction,
Data Analytics Modules,Arrays,
Data Analytics Modules,Datatypes,
Data Analytics Modules,Matrices,
Data Analytics Modules,N dimension arrays,
Data Analytics Modules,Indexing and Slicing,
Data Analytics Modules,Pandas Introduction,
Data Analytics Modules,Data Frames,
Data Analytics Modules,Merge Join Concat,
Data Analytics Modules,MatPlotLib introduction,
Data Analytics Modules,Drawing plots,
Data Analytics Modules,Introduction to Machine learning,
Data Analytics Modules,Types of Machine Learning?,
Data Analytics Modules,Introduction to Data science,
Django,Introduction to Python Django,
Django,What is Web framework?,
Django,Why Frameworks?,
Django,Define MVT Design Pattern,
Django,Difference between MVC and MVT,
Pandas,Pandas – Introduction,
Pandas,Pandas – Environment Setup,
Pandas,Pandas – Introduction to Data Structures,
Pandas,Dimension & Description,
Pandas,Series,
Pandas,DataFrame,
Pandas,Data Type of Columns,
Pandas,Panel,
Pandas,Pandas — Series,
Pandas,Create an Empty Series,
Pandas,Create a Series from ndarray,
Pandas,Create a Series from dict,
Pandas,Create a Series from Scalar,
Pandas,Accessing Data from Series with Position,
Pandas,Retrieve Data Using Label (Index),
Pandas,Pandas – DataFrame,
Pandas,Create DataFrame,
Pandas,Create an Empty DataFrame,
Pandas,Create a DataFrame from Lists,
Pandas,Create a DataFrame from Dict of ndarrays / Lists,
Pandas,Create a DataFrame from List of Dicts,
Pandas,Create a DataFrame from Dict of Series,
Pandas,Column Selection,
Pandas,Column Addition,
Pandas,Column Deletion,
Pandas,Row Selection Addition and Deletion,
Pandas,Pandas – Panel,
Pandas,Panel(),
Pandas,Create Panel,
Pandas,Selecting the Data from Panel,
Pandas,Pandas – Basic Functionality,
Pandas,DataFrame Basic Functionality,
Pandas,Pandas – Descriptive Statistics,
Pandas,Functions & Description,
Pandas,Summarizing Data,
Pandas,Pandas – Function Application,
Pandas,Table-wise Function Application,
Pandas,Row or Column Wise Function Application,
Pandas,Element Wise Function Application,
Pandas,Pandas – Reindexing,
Pandas,Reindex to Align with Other Objects,
Pandas,Filling while ReIndexing,
Pandas,Limits on Filling while Reindexing,
Pandas,Renaming,
Pandas,Pandas – Iteration,
Pandas,Iterating a DataFrame,
Pandas,iteritems(),
Pandas,iterrows(),
Pandas,itertuples(),
Pandas,Pandas – Sorting,
Pandas,By Label,
Pandas,Sorting Algorithm,
Pandas,Pandas – Working with Text Data,
Pandas,Pandas – Options and Customization,
Pandas,get_option(param),
Pandas,set_option(param value),
Pandas,reset_option(param),
Pandas,describe_option(param),
Pandas,option_context(),
Pandas,Pandas – Indexing and Selecting Data,
Pandas,.loc(),
Pandas,.iloc(),
Pandas,.ix(),
Pandas,Use of Notations,
Pandas,Pandas – Statistical Functions,
Pandas,Percent_change,
Pandas,Covariance,
Pandas,Correlation,
Pandas,Data Ranking,
Pandas,Pandas – Window Functions,
Pandas,.rolling() Function,
Pandas,.expanding() Function,
Pandas,.ewm() Function,
Pandas,Pandas – Aggregations,
Pandas,Applying Aggregations on DataFrame,
Pandas,Pandas – Missing Data,
Pandas,Cleaning / Filling Missing Data,
Pandas,Replace NaN with a Scalar Value,
Pandas,Fill NA Forward and Backward,
Pandas,Drop Missing Values,
Pandas,Replace Missing (or) Generic Values,
Pandas,Pandas – GroupBy,
Pandas,Split Data into Groups,
Pandas,View Groups,
Pandas,Iterating through Groups,
Pandas,Select a Group,
Pandas,Aggregations,
Pandas,Transformations,
Pandas,Filtration,
Pandas,Pandas – Merging/Joining,
Pandas,Merge Using ‘how’ Argument,
Pandas,Pandas – Concatenation,
Pandas,Concatenating Objects,
Pandas,Time Series,
Pandas,Pandas – Date Functionality,
Pandas,Pandas – Timedelta,
Pandas,Pandas – Categorical Data,
Pandas,Object Creation,
Pandas,Pandas – Visualization,
Pandas,Bar Plot,
Pandas,Histograms,
Pandas,Box Plots,
Pandas,Area Plot,
Pandas,Scatter Plot,
Pandas,Pie Chart,
Pandas,Pandas – IO Tools,
Pandas,csv,
Pandas,Pandas – Sparse Data,
Pandas,Pandas – Caveats & Gotchas,
Pandas,Pandas – Comparison with SQL,
NumPy,NumPy – Introduction,
NumPy,NumPy – Environment,
NumPy,NumPy – Ndarray Object,
NumPy,NumPy – Data Types,
NumPy,Data Type Objects (dtype),
NumPy,NumPy – Array Attributes,
NumPy,shape,
NumPy,ndim,
NumPy,itemsize,
NumPy,flags,
NumPy,NumPy – Array Creation Routines,
NumPy,empty,
NumPy,zeros,
NumPy,ones,
NumPy,NumPy – Array from Existing Data,
NumPy,asarray,
NumPy,frombuffer,
NumPy,fromiter,
NumPy,NumPy – Array from Numerical Ranges,
NumPy,arange,
NumPy,linspace,
NumPy,logspace,
NumPy,NumPy – Indexing & Slicing,
NumPy,NumPy – Advanced Indexing,
NumPy,Integer Indexing,
NumPy,Boolean Array Indexing,
NumPy,NumPy – Broadcasting,
NumPy,NumPy – Iterating Over Array,
NumPy,Iteration,
NumPy,Order,
NumPy,Modifying Array Values,
NumPy,External Loop,
NumPy,Broadcasting Iteration,
NumPy,NumPy – Array Manipulation,
NumPy,reshape,
NumPy,ndarray.flat,
NumPy,ndarray.flatten,
NumPy,ravel,
NumPy,transpose,
NumPy,ndarray.T,
NumPy,swapaxes,
NumPy,rollaxis,
NumPy,broadcast,
NumPy,broadcast_to,
NumPy,expand_dims,
NumPy,squeeze,
NumPy,concatenate,
NumPy,stack,
NumPy,hstack and numpy.vstack,
NumPy,split,
NumPy,hsplit and numpy.vsplit,
NumPy,resize,
NumPy,append,
NumPy,insert,
NumPy,delete,
NumPy,unique,
NumPy,NumPy – Binary Operators,
NumPy,bitwise_and,
NumPy,bitwise_or,
NumPy,invert(),
NumPy,left_shift,
NumPy,right_shift,
NumPy,NumPy – String Functions,
NumPy,NumPy – Mathematical Functions,
NumPy,Trigonometric Functions,
NumPy,Functions for Rounding,
NumPy,NumPy – Arithmetic Operations,
NumPy,reciprocal(),
NumPy,power(),
NumPy,mod(),
NumPy,NumPy – Statistical Functions,
NumPy,amin() and numpy.amax(),
NumPy,ptp(),
NumPy,percentile(),
NumPy,median(),
NumPy,mean(),
NumPy,average(),
NumPy,Standard Deviation,
NumPy,Variance,
NumPy,NumPy – Sort Search & Counting Functions,
NumPy,sort(),
NumPy,argsort(),
NumPy,lexsort(),
NumPy,argmax() and numpy.argmin(),
NumPy,nonzero(),
NumPy,where(),
NumPy,extract(),
NumPy,NumPy – Byte Swapping,
NumPy,ndarray.byteswap(),
NumPy,NumPy – Copies & Views,
NumPy,No Copy,
NumPy,View or Shallow Copy,
NumPy,Deep Copy,
NumPy,NumPy – Matrix Library,
NumPy,matlib.empty(),
NumPy,matlib.zeros(),
NumPy,matlib.ones(),
NumPy,matlib.eye(),
NumPy,matlib.identity(),
NumPy,matlib.rand(),
NumPy,NumPy – Linear Algebra,
NumPy,dot(),
NumPy,vdot(),
NumPy,inner(),
NumPy,matmul(),
NumPy,Determinant,
NumPy,linalg.solve(),
NumPy,NumPy – Matplotlib,
NumPy,Sine Wave Plot,
NumPy,subplot(),
NumPy,bar(),
NumPy,NumPy – Histogram Using Matplotlib,
NumPy,histogram(),
NumPy,plt(),
NumPy,NumPy – I/O with NumPy,
NumPy,save(),
NumPy,savetxt(),
